,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,srno
42,0.9620000000000001,1981,0.22,['Rick James'],0.838,205467,0.794,0,2dCmGcEOQrMQhMMS8Vj7Ca,0.0,9,0.0575,-8.245,0,Super Freak,76,1981-04-07,0.0531,132.446,42
43,0.971,1981,0.0436,['The Rolling Stones'],0.631,213067,0.932,0,7HKez549fwJQDzx3zLjHKC,0.13699999999999998,5,0.0918,-4.1419999999999995,1,Start Me Up - Remastered,76,1981-08-24,0.0354,122.429,43
44,0.958,1981,0.184,['The Human League'],0.731,236920,0.738,0,3L7RtEcu1Hw3OXrpnthngx,0.0,9,0.214,-8.125,0,Don't You Want Me,74,1981,0.0377,117.656,44
45,0.9,1981,0.121,"['Earth, Wind & Fire']",0.8690000000000001,339320,0.648,0,3koCCeSaVUyrRo3N2gHrd8,2.17e-05,11,0.126,-8.698,0,Let's Groove,74,1981-11-14,0.0633,125.035,45
46,0.596,1981,0.0204,['Kim Carnes'],0.675,228000,0.649,0,0odIT9B9BvOCnXfS0e4lB5,0.0,5,0.0959,-10.270999999999999,1,Bette Davis Eyes,73,1981-01-01,0.0319,116.624,46
47,0.429,1981,0.121,['The Police'],0.5579999999999999,260573,0.768,0,44aTAUBF0g6sMkMNE8I5kd,0.0626,2,0.124,-9.997,1,Every Little Thing She Does Is Magic,73,1981-10-02,0.0343,81.90899999999998,47
48,0.9009999999999999,1981,0.326,['Joan Jett & The Blackhearts'],0.535,175173,0.716,0,2Cdvbe2G4hZsnhNMKyGrie,0.0,4,0.659,-5.025,1,I Love Rock 'N Roll,73,1981-11-18,0.0431,94.37899999999999,48
49,0.6659999999999999,1981,0.00145,['Rush'],0.536,276880,0.9009999999999999,0,3QZ7uX97s82HFYSmQUAN1D,0.0186,9,0.06,-7.211,1,Tom Sawyer,72,1981-02-12,0.0374,87.559,49
50,0.599,1981,0.14300000000000002,['The Stranglers'],0.562,206760,0.38299999999999995,0,2AX5E86cn9n2dgioZEjirI,0.124,6,0.138,-15.474,1,Golden Brown,72,1981,0.0304,93.764,50
51,0.888,1981,0.249,['The J. Geils Band'],0.653,216533,0.677,0,1ynmMEK1fkyiZ6Z6F3ThEt,0.0,0,0.40299999999999997,-12.244000000000002,1,Centerfold,72,1981,0.0396,114.37,51
52,0.8220000000000001,1981,0.16399999999999998,['Rick Springfield'],0.727,194120,0.8320000000000001,0,5RsUlxLto4NZbhJpqJbHfN,0.0,2,0.105,-5.851,1,Jessie's Girl,72,1981,0.05,131.703,52
53,0.845,1981,0.015,['Blondie'],0.6940000000000001,275733,0.5770000000000001,0,0a4agFmqHXxcZl1nho1BxM,0.00836,4,0.0853,-14.63,1,Heart Of Glass - Special Mix,71,1981-10-31,0.0308,114.478,53
54,0.762,1981,0.125,['Luther Vandross'],0.7340000000000001,230467,0.586,0,3nFJbZCHP4d9vduKjJLdBL,0.0,2,0.0367,-11.866,1,Never Too Much,71,1981-07-23,0.129,109.93299999999999,54
55,0.174,1981,0.584,['Journey'],0.405,202173,0.21,0,2w4EpqGasrz9qdTwocx54t,0.0,2,0.139,-13.214,1,Open Arms,70,1981,0.0279,100.57700000000001,55
56,0.433,1981,0.31,['Foreigner'],0.33,292067,0.469,0,2OgVsp77En2nju8pnCieVU,2.3e-06,10,0.0402,-9.286,0,Waiting for a Girl like You,70,1981,0.0335,201.327,56
57,0.40700000000000003,1981,0.36200000000000004,['Bruce Springsteen'],0.35700000000000004,267600,0.6679999999999999,0,6s2wpWPFPAgKg2LXxi1Oee,1.37e-06,0,0.727,-8.443999999999999,1,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",70,1981,0.0479,139.986,57
58,0.518,1981,0.16899999999999998,['Christopher Cross'],0.526,234493,0.515,0,5fnOrhQ4KgT5irGCjIccGH,0.000816,9,0.18100000000000002,-11.169,1,Arthur's Theme (Best That You Can Do),69,1981,0.0389,136.543,58
59,0.305,1981,0.0953,['Kim Wilde'],0.557,205533,0.782,0,1YGZyfvdgZxzipWoWYVKxi,6.75e-06,4,0.11800000000000001,-3.8989999999999996,1,Kids In America,69,1981,0.0475,159.621,59
60,0.514,1981,0.127,['Journey'],0.5,250987,0.748,0,4bHsxqR3GMrXTxEPLuK5ue,0.0,4,0.447,-9.072000000000001,1,Don't Stop Believin',81,1981,0.0363,118.852,60
61,0.298,1981,0.551,['Phil Collins'],0.446,336453,0.239,0,18AXbzPzBS8Y3AkgSxzJPb,4.1e-06,0,0.0697,-13.945,1,In The Air Tonight - 2015 Remastered,77,1981-01-01,0.0316,189.507,61
62,0.9620000000000001,1981,0.22,['Rick James'],0.838,205467,0.794,0,2dCmGcEOQrMQhMMS8Vj7Ca,0.0,9,0.0575,-8.245,0,Super Freak,76,1981-04-07,0.0531,132.446,62
63,0.971,1981,0.0436,['The Rolling Stones'],0.631,213067,0.932,0,7HKez549fwJQDzx3zLjHKC,0.13699999999999998,5,0.0918,-4.1419999999999995,1,Start Me Up - Remastered,76,1981-08-24,0.0354,122.429,63
64,0.958,1981,0.184,['The Human League'],0.731,236920,0.738,0,3L7RtEcu1Hw3OXrpnthngx,0.0,9,0.214,-8.125,0,Don't You Want Me,74,1981,0.0377,117.656,64
65,0.9,1981,0.121,"['Earth, Wind & Fire']",0.8690000000000001,339320,0.648,0,3koCCeSaVUyrRo3N2gHrd8,2.17e-05,11,0.126,-8.698,0,Let's Groove,74,1981-11-14,0.0633,125.035,65
66,0.596,1981,0.0204,['Kim Carnes'],0.675,228000,0.649,0,0odIT9B9BvOCnXfS0e4lB5,0.0,5,0.0959,-10.270999999999999,1,Bette Davis Eyes,73,1981-01-01,0.0319,116.624,66
67,0.429,1981,0.121,['The Police'],0.5579999999999999,260573,0.768,0,44aTAUBF0g6sMkMNE8I5kd,0.0626,2,0.124,-9.997,1,Every Little Thing She Does Is Magic,73,1981-10-02,0.0343,81.90899999999998,67
68,0.9009999999999999,1981,0.326,['Joan Jett & The Blackhearts'],0.535,175173,0.716,0,2Cdvbe2G4hZsnhNMKyGrie,0.0,4,0.659,-5.025,1,I Love Rock 'N Roll,73,1981-11-18,0.0431,94.37899999999999,68
69,0.6659999999999999,1981,0.00145,['Rush'],0.536,276880,0.9009999999999999,0,3QZ7uX97s82HFYSmQUAN1D,0.0186,9,0.06,-7.211,1,Tom Sawyer,72,1981-02-12,0.0374,87.559,69
70,0.599,1981,0.14300000000000002,['The Stranglers'],0.562,206760,0.38299999999999995,0,2AX5E86cn9n2dgioZEjirI,0.124,6,0.138,-15.474,1,Golden Brown,72,1981,0.0304,93.764,70
71,0.888,1981,0.249,['The J. Geils Band'],0.653,216533,0.677,0,1ynmMEK1fkyiZ6Z6F3ThEt,0.0,0,0.40299999999999997,-12.244000000000002,1,Centerfold,72,1981,0.0396,114.37,71
72,0.8220000000000001,1981,0.16399999999999998,['Rick Springfield'],0.727,194120,0.8320000000000001,0,5RsUlxLto4NZbhJpqJbHfN,0.0,2,0.105,-5.851,1,Jessie's Girl,72,1981,0.05,131.703,72
73,0.845,1981,0.015,['Blondie'],0.6940000000000001,275733,0.5770000000000001,0,0a4agFmqHXxcZl1nho1BxM,0.00836,4,0.0853,-14.63,1,Heart Of Glass - Special Mix,71,1981-10-31,0.0308,114.478,73
74,0.762,1981,0.125,['Luther Vandross'],0.7340000000000001,230467,0.586,0,3nFJbZCHP4d9vduKjJLdBL,0.0,2,0.0367,-11.866,1,Never Too Much,71,1981-07-23,0.129,109.93299999999999,74
